case_id,population,pollinator_taxon_sex,white_morph_share,white_visit_share,white_selection_ratio,significance_class,source_ref,published_article,source_locator,inclusion_basis,claim_boundary
CPREF01,Cantref,Bombus_lucorum,0.255,0.295,1.1568627451,p_lt_0.05,10.5287/ora-mj5dwmwbx,10.1038/hdy.1974.91,thesis_Fig24_P100,"significant white-preference case with reconstructable morph and visit shares","Case is not an independent study; repeated bee-type x population observation."
CPREF02,Cantref,Bombus_pratorum_female,0.255,0.411,1.6117647059,p_lt_0.001,10.5287/ora-mj5dwmwbx,10.1038/hdy.1974.91,thesis_Fig24_P100,"significant white-preference case with reconstructable morph and visit shares","Case is not an independent study; repeated bee-type x population observation."
CPREF03,Forest_Lodge,Bombus_lapidarius_male,0.640,0.737,1.1515625000,p_lt_0.001,10.5287/ora-mj5dwmwbx,10.1038/hdy.1974.91,thesis_Fig24_P101,"significant white-preference case with reconstructable morph and visit shares","Case is not an independent study; repeated bee-type x population observation."
CPREF04,Forest_Lodge,Bombus_lapidarius_female,0.640,0.815,1.2734375000,p_lt_0.001,10.5287/ora-mj5dwmwbx,10.1038/hdy.1974.91,thesis_Fig24_P101,"significant white-preference case with reconstructable morph and visit shares","Case is not an independent study; repeated bee-type x population observation."
CPREF05,Forest_Lodge,Bombus_lapponicus,0.640,0.884,1.3812500000,p_lt_0.001,10.5287/ora-mj5dwmwbx,10.1038/hdy.1974.91,thesis_Fig24_P101,"significant white-preference case with reconstructable morph and visit shares","Case is not an independent study; repeated bee-type x population observation."
CPREF06,Forest_Lodge,Bombus_lucorum,0.640,0.825,1.2890625000,p_lt_0.001,10.5287/ora-mj5dwmwbx,10.1038/hdy.1974.91,thesis_Fig24_P101,"significant white-preference case with reconstructable morph and visit shares","Case is not an independent study; repeated bee-type x population observation."
