paper_japan_member_id,taxon_name,local_lightness,local_population_or_observation_count,source_class,source_reference,identity_resolved,primary_analysis_allowed
JPN_17,Cirsium maritimum,68.23529434204102,14,Azami_Japan_window_strict_spatial_observations,data/evidence/japan38_colour_geographic_provenance_gate_v1.json,true,true
JPN_23,Cirsium oligophyllum,63.235294342041016,20,Azami_Japan_window_strict_spatial_observations,data/evidence/japan38_colour_geographic_provenance_gate_v1.json,true,true
JPN_30,Cirsium yezoense,62.54901885986328,2,direct_licensed_Japan_locality_medians,data/evidence/japan38_open_candidate_colour_measurement_summary_v1.json,true,true
JPN_36,Cirsium sieboldii,59.607842445373535,10,Azami_Japan_window_strict_spatial_observations,data/evidence/japan38_colour_geographic_provenance_gate_v1.json,true,true
JPN_37,Cirsium kamtschaticum,73.43136978149414,11,Azami_Japan_window_strict_spatial_observations,data/evidence/japan38_colour_geographic_provenance_gate_v1.json,true,true
