group,topology_count,regain_required_count,regain_required_fraction,no_regain_equal_optimum_count,no_regain_penalty_1_count,no_regain_penalty_2_count,minimum_change_2_count,minimum_change_3_count,minimum_change_4_count,interpretation
all_rooted_binary_topologies,945,270,0.285714,675,252,18,90,855,0,Worst-case topology uncertainty across all 945 rooted binary resolutions.
bp_monophyletic,45,36,0.800000,9,24,12,18,27,0,"All three bluish-purple tips form one clade, but their position relative to white tips is unrestricted."
w_monophyletic,45,0,0.000000,45,0,0,18,27,0,All three white tips form one clade; a loss-only explanation remains available.
nh_tj_cherry,105,42,0.400000,63,54,6,15,90,0,"The published NH-TJ sister pair is preserved, while other relationships vary."
bp_monophyletic_and_nh_tj_cherry,15,12,0.800000,3,8,4,6,9,0,The full BP clade and its NH-TJ internal pair are preserved.
published_plus_single_split_perturbations,9,9,1.000000,0,4,5,5,4,0,Published topology plus every rooted topology differing by at most one nontrivial cluster.
published_plus_two_split_perturbations,51,44,0.862745,7,35,9,17,34,0,Published topology plus wider local rearrangements up to rooted RF distance four.
published_topology,1,1,1.000000,0,0,1,1,0,0,Exact Figure 1 sample topology.
