tree_code,biosample,run,experiment,voucher_and_herbarium,region_class,geographic_location,sra_link_status,scope_class,tree_code_vs_sra_name,name_reconciliation_priority
Cirsium ownbeyi,SAMN44017895,SRR30887153,SRX26291444,"U.S.A.: Colorado, 16.06.2018, J Ackerfield sn (CS)",Outside_target_region,USA,linked_runinfo,outside_scope,exact,low
Cirsium palustre,SAMN34240324,SRR25265653,SRX21011565,"Spain, Girona, 08.27.2011, S. Pyke SBP 6469 (BC909722)",Outside_target_region,Spain: Girona,linked_runinfo,outside_scope,exact,low
Cirsium pannonicum,SAMN34240325,SRR25265652,SRX21011566,"Austria, Burgenland, 06.18.2007, T. Barta 117 (Herbar Thomas Barta) (BC878461)",Outside_target_region,Austria: Burgenland,linked_runinfo,outside_scope,exact,low
Cirsium peckii,SAMN34240326,SRR25265650,SRX21011567,"U.S.A., Oregon, 07.20.2007, Y Yuan 07-19 (WTU)",Outside_target_region,USA: Oregon,linked_runinfo,outside_scope,different_submitted_or_published_name,high
Cirsium pendulum,SAMN34240327,SRR25265649,SRX21011568,"Russia, Trans-Baikal Territory, 07.22.2011, N.S. Gamova, S.V. Dudov, No. 11 0183 (MW0150574)",Russian_Inner_NE_Asia,Russia: Trans-Baikal Territory,linked_runinfo,northeast_asia_bridge,exact,low
Cirsium peshmenianum,SAMN34240328,SRR25265648,SRX21011569,"Turkey:, Van, between Çatak and Bahçesaray, 2 km from Yukarınarlı village to Bahçesaray, 2133 m, 01.08.2018, Dirmenci, TD-5108",Outside_target_region,Turkey: Van,linked_runinfo,outside_scope,different_submitted_or_published_name,high
Cirsium phyllocephalum,SAMN44017978,SRR30887198,SRX26291399,MA-01-00132631,Other_or_unresolved,Unknown,linked_runinfo,outside_scope,different_submitted_or_published_name,high
Cirsium poluninii,SAMN44017896,SRR30887152,SRX26291445,"Turkey: A6 Sivas, bBetween Zara and Şerefiye, Kurbağalıdere, 1400 m, 23.08.2009, Yıldız, BY-17100",Outside_target_region,Turkey,linked_runinfo,outside_scope,generic_reassignment_only,medium
Cirsium polycephalum,SAMN44017897,SRR30887155,SRX26291446,"Turkey: A1 (E) İstanbul,: Silivri, 3-4 km from Beyciler to Sinekli village, 200 m, 29.08.2017, Dirmenci, TD-4927-A, Dirmenci",Outside_target_region,Turkey,linked_runinfo,outside_scope,exact,low
Cirsium pseudobracteosum,SAMN44017898,SRR30887151,SRX26291447,"Turkey: B9 Van, between Bahçesaray and Hizan, İhtiyartaşı pass, 2470 m, 26.08.2010, Yıldız & Dirmenci BY-17187 Yıldız & Dirmenci",Outside_target_region,Turkey,linked_runinfo,outside_scope,different_submitted_or_published_name,high
Cirsium pseudocreticum,SAMN44017899,SRR30887150,SRX26291448,"Turkey: Eskişehir : 7-8 km from Sivrihisar to Afyon, around Aşağıkepenek village, 930 m, 15.09.2017, Dirmenci, TD-4946",Outside_target_region,Turkey,linked_runinfo,outside_scope,exact,low
Cirsium vulgare,SAMN44017900,SRR30887148,SRX26291450,"Georgia, Adjara: near Namonastrewi, 1250 m, 41° 34.082 N, 42° 04.627 W, A. Gröger & W. Lobin413-2, 05.08.2003 (H. B. Bonn)",Outside_target_region,Georgia,linked_runinfo,outside_scope,different_submitted_or_published_name,high
Cirsium pseudosuffultum,SAMN44017901,SRR30887147,SRX26291451,"Japan. SHIKOKU: Kochi Pref.; Kujukumagari Pass, Yusuhara-cho, Takaoka-gun., 132°51′;33°23′, m, 25 Oct. 2012, Yuki Tanabe, Katsuya Nakahira, Prachaya Srisanga, Mu Mu Aung & Tin Tin MuFOS-003612 (MBK-0241068)",Japan,Japan: SHIKOKU,linked_runinfo,core_east_asia,exact,low
Cirsium pubigerum var. globeratum,SAMN44017902,SRR30887146,SRX26291452,"Turkey: B6 Kahramanmaraş: Ilıca, Süleymanlı village, south of Berit mountain, 22.08.2008, Yıldız & Arabacı, BY-16982",Outside_target_region,Turkey,linked_runinfo,outside_scope,different_submitted_or_published_name,high
Cirsium horridum,SAMN44017903,SRR30887145,SRX26291453,"Caucasus, Krasnodar region, 09.04.2008, A. Seregin, L. Ashurkova, 3. Vinokurova, I. Ermakov, No. S-1123, (MW0730889)",Russia_other,Russia,linked_runinfo,outside_scope,different_submitted_or_published_name,high
Cirsium pulcherrimum,SAMN44017979,SRR30887197,SRX26291400,MA-01-00530841,Other_or_unresolved,Unknown,linked_runinfo,outside_scope,exact,low
Cirsium pyramidale,SAMN34240329,SRR25265651,SRX21011570,"Iran, Yazd, 06.22.1975, Fouroughi & Assadi 18006 (TARI).",Outside_target_region,Iran: Yazd,linked_runinfo,outside_scope,different_submitted_or_published_name,high
Cirsium repandum.,SAMN44017905,SRR30887143,SRX26291455,"U.S.A.: South Carolina, 27.07.2014, J Nelson 33174 (USCH)",Outside_target_region,USA,linked_runinfo,outside_scope,different_submitted_or_published_name,high
Cirsium rhizocephalum subsp. sinuatum,SAMN34240297,SRR25265703,SRX21011514,"Turkey, Ardahan, Çıldır, north of Çıldır lake, 2000 m, 23.08.2010, Yıldız & Dirmenci, BY-17154",Outside_target_region,Turkey: Ardahannorth,linked_runinfo,outside_scope,different_submitted_or_published_name,high
