tree_code,biosample,run,experiment,voucher_and_herbarium,region_class,geographic_location,sra_link_status,scope_class,tree_code_vs_sra_name,name_reconciliation_priority
Cirsium shidokimontanum,SAMN44017916,SRR30887309,SRX26291289,"Japan. Honshu: Fukushima Pref., Hagashishirakawa-gun, Furudono-machi, Mt. Mikabuyama., , ca. 640 m, 5 Oct. 2009, Y. Yuzawa24175 (MBK-0219984)",Japan,Japan: Honshu,linked_runinfo,core_east_asia,exact,low
Cirsium sieboldii,SAMN44017917,SRR30887308,SRX26291290,Cultivated at the Botanical Garden of Barcelona,Other_or_unresolved,Unknown,linked_runinfo,outside_scope,exact,low
Cirsium sieversii,SAMN34240338,SRR25265679,SRX21011538,"Kazakhstan, 07.19.1961, Barabanov Е. (MW0889991)",Other_or_unresolved,Kazakhstan,linked_runinfo,outside_scope,exact,low
Cirsium simplex,SAMN34240339,SRR25265678,SRX21011539,"Russia, Kavk. State, Reserve. 07.14.1941, Smirnov P. (MW0730942)",Russia_other,Russia: Kavk. State,linked_runinfo,outside_scope,exact,low
Cirsium simplex subsp. armenum,SAMN44017918,SRR30887307,SRX26291291,"Turkey: A8 Rize, 22 km from İkizdere to Başköy, 1750 m, 01.09.2007, Dirmenci, TD-3608,",Outside_target_region,Turkey,linked_runinfo,outside_scope,exact,low
Cirsium sintenisii,SAMN34240340,SRR25265677,SRX21011540,"Turkey: Antalya/Konya, 37 km from Akseki to Seydişehir, 1760 m, 13.09.2018, TD-5237",Outside_target_region,Turkey: Antalya,linked_runinfo,outside_scope,generic_reassignment_only,medium
Cirsium sipyleum,SAMN44017919,SRR30887305,SRX26291292,"Turkey: İzmir, Ödemşiş, Bozdağ, 1563 m, 16.09.2017, Dirmenci, TD-4947",Outside_target_region,Turkey,linked_runinfo,outside_scope,different_submitted_or_published_name,high
Cirsium sivasicum,SAMN44017920,SRR30887303,SRX26291294,"Turkey: Sivas: between Zara and Bolucan, Karabel pass, 1500 m, 23.07.2009, Yıldız, BY-17076",Outside_target_region,Turkey,linked_runinfo,outside_scope,different_submitted_or_published_name,high
Cirsium sommieri,SAMN44017921,SRR30887306,SRX26291295,"Turkey: Bingöl, 15 km from Solhan to Bingöl 1350 m, 23.07.2009, Dirmenci, TD-3728",Outside_target_region,Turkey,linked_runinfo,outside_scope,generic_reassignment_only,medium
Cirsium sorocephalum,SAMN34240341,SRR25265675,SRX21011541,"Turkey: Van, around Zernek Dam, 08.14.2008, Yıldız & Dirmenci, BY-16906",Outside_target_region,Turkey: around Zernek Dam,linked_runinfo,outside_scope,different_submitted_or_published_name,high
