tree_code,biosample,run,experiment,voucher_and_herbarium,region_class,geographic_location,sra_link_status,scope_class,tree_code_vs_sra_name,name_reconciliation_priority
Cirsium eatonii,SAMN44017840,SRR30887190,SRX26291407,"U.S.A.: Utah, 31.07.2004, Keil 30328 (OBI)",Outside_target_region,USA,linked_runinfo,outside_scope,exact,low
Cirsium echinatum,SAMN44017841,SRR30887189,SRX26291408,"Morocco: Jbel-Tazzeka Bab-Bou-Idir-Taza. ± 1 km N of Bab-Bou-Idir, 10.06.1961, J.J.F.E. de Wilde, P.A.W.J. de Wilde, J. Dorgelo 2928 (WAG.1322590)",Outside_target_region,Morocco,linked_runinfo,outside_scope,different_submitted_or_published_name,high
Cirsium echinus,SAMN34240284,SRR25265716,SRX21011500,"Armenia, Tavush province, 06.13.2002, G. Fayvush & al. 1910 (OPTIMA ITER XI TO ARMENIA) (BC900271)",Other_or_unresolved,Armenia: Tavush province,linked_runinfo,outside_scope,exact,low
Cirsium edule,SAMN34240285,SRR25265715,SRX21011501,"U.S.A., Washington, 07.13.2012, D Knoke 2288 (WTU)",Outside_target_region,USA: Washington,linked_runinfo,outside_scope,exact,low
Cirsium effusum,SAMN34240286,SRR25265714,SRX21011502,"Tokyo Metropolitan Medicinal Plants Garden 531, 2002 (JBB Col. S 834)",Other_or_unresolved,not applicable,linked_runinfo,outside_scope,different_submitted_or_published_name,high
Cirsium ehrenbergii,SAMN44017965,SRR30887212,SRX26291385,MA-01-00292222,Other_or_unresolved,Unknown,linked_runinfo,outside_scope,exact,low
Cirsium ekimianum,SAMN34240287,SRR25265713,SRX21011503,"Turkey: 12 km from Aşkale to Bayburt, 08.09.2017, Arabaci & Dirmenci, TD-4899",Outside_target_region,Turkey: 12 km from Akale to Bayburt,linked_runinfo,outside_scope,different_submitted_or_published_name,high
Cirsium elbrusense,SAMN34240288,SRR25265712,SRX21011504,"Russia, SO ASSR, 02.09.1976, Shvedchikova N. (MW0730723)",Russia_other,Russia: SO ASSR,linked_runinfo,outside_scope,exact,low
Cirsium ellenbergii,SAMN34240289,SRR25265718,SRX21011505,"Turkey: 10 km from Sürgü to Erkenek, 1370 m, 25.08.2017, Arabaci, TA-3052",Outside_target_region,Turkey: Malatya,linked_runinfo,outside_scope,generic_reassignment_only,medium
Cirsium elodes,SAMN44017842,SRR30887188,SRX26291409,"Turkey: 7 km from Erzurum to Tortum, 1755 m, 08.08.2017, Dirmenci & Arabacı, TD-4874,",Outside_target_region,Turkey,linked_runinfo,outside_scope,exact,low
Cirsium eriophorum,SAMN44017843,SRR30887187,SRX26291410,"Spain: Girona, Ripollès, carretera de Setcases a l'estació d'esquí Vallter 2000, prop de l'aparcament per anar al refugi d'Ulldeter, 42º25'22""N 2º15'50""E, 2100 m, 15.08.2020, M. Galbany Casals GC-2737.",Outside_target_region,Spain,linked_runinfo,outside_scope,different_submitted_or_published_name,high
