tree_code,biosample,run,experiment,voucher_and_herbarium,region_class,geographic_location,sra_link_status,scope_class,tree_code_vs_sra_name,name_reconciliation_priority
Cirsium acaule,SAMN34240253,SRR25265562,SRX21011655,"Spain, Huesca, 07.31.1987, P.Montserrat and L.Villar et. al. (JACA735387)",Outside_target_region,Spain: Huesca,linked_runinfo,outside_scope,exact,low
Cirsium adjaricum,SAMN34240254,SRR25265561,SRX21011656,"Turkey, Rize, 09.01.2007, Dirmenci & Arabaci TD-3609",Outside_target_region,Turkey: Rize,linked_runinfo,outside_scope,different_submitted_or_published_name,high
Cirsium aduncum 1,SAMN44017807,SRR30887318,SRX26291280,"Iran: Azerbaijan, Mianeh to Tabriz, Avenligh to Supergulu (Bozghoush Mt.), 2300 m, 02.08.2009, Mozaffarian & Ramezani 96322 (TARI; Mozaffarian96322).",Outside_target_region,Iran,linked_runinfo,outside_scope,different_submitted_or_published_name,high
Cirsium aduncum 2,SAMN44017808,SRR30887317,SRX26291281,"Turkey: C10 Hakkari: 31 km from Şemdinli to Derecik, 1600 m, 03.08.2018 , TD-5132, Dirmenci & Yıldız",Outside_target_region,Turkey,linked_runinfo,outside_scope,different_submitted_or_published_name,high
Cirsium aidzuense,SAMN44017809,SRR30887269,SRX26291330,"Japan. HONSHU: Fukushima Pref.; Shimogo-machi, Minamiaizu-gun., 4 October 1969, Toshiaki Takeda 25 (MBK-0270859)",Japan,Japan: HONSHU,linked_runinfo,core_east_asia,exact,low
Cirsium aitchisonii,SAMN44017956,SRR30887221,SRX26291375,"Afghanistan, Paktiya, 11.07.1965, Rechinger K.H., Iter orientale 1965 32269-I (W0154078)",Outside_target_region,Afghanistan,linked_runinfo,outside_scope,generic_reassignment_only,medium
Cirsium alatum,SAMN34240255,SRR25265560,SRX21011657,"Iran, Azerbaijan, Mozaffarian 93894 (TARI).",Outside_target_region,Azerbaijan,linked_runinfo,outside_scope,exact,low
Cirsium alberti,SAMN44017810,SRR30887257,SRX26291341,"Xinjiang, Takemi Shimizu, Fumhiro Konda et al., 138 (PE01467907)",China,China,linked_runinfo,core_east_asia,different_submitted_or_published_name,high
Cirsium alpicola,SAMN44017811,SRR30887181,SRX26291415,"Japan. Honshu: Aomori Pref., Aomori-shi, Arakawa, Sukayu, Mt. Hakkoda Botanical Garden of Tohoku University., 140°51'03'';40°38'52'', 895-900 m, 30 Aug. 2009, K. Yonekura16640 (MBK-0262712)",Japan,Japan: Honshu,linked_runinfo,core_east_asia,exact,low
Cirsium alsophilum,SAMN44017957,SRR30887224,SRX26291376,"Italy, Trentino-Alto Adige, Südtirol, 01.06.1997, Staudinger M. S1773 (W0154081)",Outside_target_region,Italy,linked_runinfo,outside_scope,exact,low
Cirsium altissimum,SAMN44017958,SRR30887220,SRX26291377,,Other_or_unresolved,Unknown,linked_runinfo,outside_scope,exact,low
Cirsium amani,SAMN34240256,SRR25265559,SRX21011658,"Turkey, Osmaniye: 10 km from Yarpuz village to Osmaniye, 850 m, 1500 m, 21.08.2008. , Dirmenci & Arabacı & Yıldız (BY-16975)",Outside_target_region,Turkey: Osmaniye,linked_runinfo,outside_scope,generic_reassignment_only,medium
Cirsium amplexifolium,SAMN34240257,SRR25265557,SRX21011659,"Japan, Honshu, 11.02.2014, Kazumi Fujikawa 14019 (MBK-0270155)",Japan,Japan: Honshu,linked_runinfo,core_east_asia,exact,low
Cirsium andersonii,SAMN44017812,SRR30887170,SRX26291426,"U.S.A.: California, 21.07.2007, Honer 2754 (RSA)",Outside_target_region,USA,linked_runinfo,outside_scope,exact,low
Cirsium andrewsii,SAMN44017813,SRR30887247,SRX26291352,"U.S.A.: California, 28.04.2012, D Park 327-1 (DAV)",Outside_target_region,USA,linked_runinfo,outside_scope,exact,low
Cirsium aomorense,SAMN44017814,SRR30887235,SRX26291362,"Japan. Honshu: Aomori Pref., Aomori-shi, Arakawa, along the National Route #103, N of Ninamimata-zawa Valley., 140°49'39'';40°39'50'', ca. 730 m, 14 Sep. 2011, K. Yonekura18639 (MBK-0262698)",Japan,Japan: Honshu,linked_runinfo,core_east_asia,exact,low
Cirsium apiculatum,SAMN44017815,SRR30887163,SRX26291438,"Turkey: B2 İzmir : Ödemiş, Bozdağ, 1563 m, 16.09.2017, Dirmenci & Yıldız (TD-4948)",Outside_target_region,Turkey,linked_runinfo,outside_scope,different_submitted_or_published_name,high
Cirsium appendiculatum,SAMN44017816,SRR30887149,SRX26291449,"Bulgaria: Sophia Region, Parque natural de Vitosha, 14.08.2005, A-. Seregin, M. Bocharnikov, E-890 (MW0794263)",Outside_target_region,Bulgaria,linked_runinfo,outside_scope,exact,low
Cirsium arachnoideum,SAMN44017817,SRR30887316,SRX26291282,"Karachay-Cherkessia, Khabez district, 08.09.2012, Zernov A. S., Onipchenko V.G., 7861 (MW0730622)",Russia_other,Russia,linked_runinfo,outside_scope,different_submitted_or_published_name,high
Cirsium argyracanthum,SAMN44017818,SRR30887304,SRX26291293,"China: Tibet, 10.09.2017, Xu Lian-Sheng, PE6272 (PE01890882)",China,China,linked_runinfo,core_east_asia,exact,low
Cirsium arizonicum,SAMN34240258,SRR25265556,SRX21011660,"U.S.A., Arizona, 06.14.2001, E Gilbert 712 (ASU)",Outside_target_region,USA: Arizona,linked_runinfo,outside_scope,exact,low
Cirsium arvense,SAMN34240259,SRR25265555,SRX21011661,"Austria, Niederösterreich, 07.05.1998, E. Vitek 98-928 (HERBARIUM W) (BC871128)",Outside_target_region,Austria: Niedersterreich,linked_runinfo,outside_scope,exact,low
Cirsium arvense var. vestitum,SAMN34240306,SRR25265693,SRX21011524,"Armenia, Vayotsdzor province, 06.27.2002, G. Fayvush & al. 1540 (OPTIMA ITER XI TO ARMENIA) (BC902290)",Other_or_unresolved,Armenia: Vayotsdzor province,linked_runinfo,outside_scope,exact,low
Cirsium aybarsii sp. nova,SAMN44017819,SRR30887294,SRX26291304,"Turkey: Kütahya, Türkmenbaba Mountain, 1.5 km from Başören village to İncik village, 25.08.2019, Dirmenci & Duman, TD-5315",Outside_target_region,Turkey,linked_runinfo,outside_scope,different_submitted_or_published_name,high
Cirsium aytatchii,SAMN34240260,SRR25265558,SRX21011662,"Turkey: Adana, Tufanbeyli, 3 km from Taşpınar to Akçal villages, 1521 m, 04.08.2016, Dirmenci & Arabaci, TD-4816",Outside_target_region,Turkey: Adana,linked_runinfo,outside_scope,generic_reassignment_only,medium
Cirsium baytopiae,SAMN44017820,SRR30887283,SRX26291315,"Turkey: Tekirdağ, 3-4 km from Saray to Çatalca, 182 m, 30.08.2017, Dirmenci, (TD-4933)",Outside_target_region,Turkey,linked_runinfo,outside_scope,different_submitted_or_published_name,high
Cirsium boluënse,SAMN44017821,SRR30887229,SRX26291368,"Turkey: Bolu, Kartalkaya road, Sarıalan place, 1452 m, 10.08.2018, Dirmenci, (TD-5152)",Outside_target_region,Turkey,linked_runinfo,outside_scope,different_submitted_or_published_name,high
Cirsium bornmuelleri,SAMN34240261,SRR25265618,SRX21011600,"Iran, Khorassan, 08.02.1999, Mozaffarian 79721 (TARI).",Outside_target_region,Iran: Khorassan,linked_runinfo,outside_scope,generic_reassignment_only,medium
