tree_code,biosample,run,experiment,voucher_and_herbarium,region_class,geographic_location,sra_link_status,scope_class,tree_code_vs_sra_name,name_reconciliation_priority
Cirsium handelii,SAMN44017855,SRR30887175,SRX26291422,"China: Sichuan province, 06.08.1981, Qinghai-Tibet Team, 3359 (PE00455613)",China,China,linked_runinfo,core_east_asia,exact,low
Cirsium haussknechtii,SAMN44017856,SRR30887174,SRX26291423,"Turkey: Muş: 10 km from Hasköy to Güneysu, 1350 m, 27.08.2010, , Yıldız & Dirmenci, BY-17212",Outside_target_region,Turkey,linked_runinfo,outside_scope,generic_reassignment_only,medium
Cirsium helenioides,SAMN34240302,SRR25265696,SRX21011520,"Russia, East Bolshezemelskaya tundra,08.03.1983, V.V. Morozov (MW0381960)",Russia_other,Russia: East Bolshezemelskaya tundra,linked_runinfo,outside_scope,exact,low
Cirsium henryi,SAMN44017857,SRR30887172,SRX26291424,"China: Yunnan province, 03.08.1081, Hengduan Mountain Team of Beijing Institute of Technology, 2464 (PE004555669)",China,China,linked_runinfo,core_east_asia,exact,low
Cirsium hesperium,SAMN34240303,SRR25265699,SRX21011521,"U.S.A., Colorado, 07.05.2003, J Flaig 346 (RM)",Outside_target_region,USA: Colorado,linked_runinfo,outside_scope,exact,low
Cirsium heterophyllum,SAMN34240304,SRR25265695,SRX21011522,"Russia, Tyumen region Yamalo-Nenets national district, 08.10.1964, Tagunova s.n. (MW0150643)",Russia_other,Russia: Tyumen region Yamalo-Nenets national district,linked_runinfo,outside_scope,exact,low
Cirsium heterotrichum,SAMN34240305,SRR25265694,SRX21011523,"Bulgaria, Sofia, 07.15.1955, N. Vihodcevsky (L.3696652)",Outside_target_region,Bulgaria: Sofia,linked_runinfo,outside_scope,exact,low
Cirsium hygrophilum,SAMN44017970,SRR30887205,SRX26291391,"Iran, Islamis Republic of Mazandaran, 02.07.1974, Wendelbo P, Assadi M, Flora of Iran 13400 (W0154065)",Outside_target_region,Iran,linked_runinfo,outside_scope,exact,low
Cirsium incanum,SAMN44017971,SRR30887208,SRX26291392,"Armenia, Vayotsdzor province, Yeghegnadzor distr., c. 12 km N Yeghegnadzor, around village Eghegis, 39º52'N 45º22'E, 1540, 27/06/2002, G. Fayvush & al. (OPTIMA ITER XI TO ARMENIA; 902290)",Other_or_unresolved,Armenia,linked_runinfo,outside_scope,different_submitted_or_published_name,high
Cirsium interpositum,SAMN44017859,SRR30887173,SRX26291427,"China: Yunnan province, T.T.YU 20032 (PE00455814)",China,China,linked_runinfo,core_east_asia,exact,low
Cirsium iranicum,SAMN44017860,SRR30887256,SRX26291343,"Iran: Azerbaijan, Tabriz to Mushkanbar, Kuh-e Buhlul, 1770 m, 13.06.2005, Mozaffarian 87146 (TARI).",Outside_target_region,Iran,linked_runinfo,outside_scope,different_submitted_or_published_name,high
