tree_code,biosample,run,experiment,voucher_and_herbarium,region_class,geographic_location,sra_link_status,scope_class,tree_code_vs_sra_name,name_reconciliation_priority
Cirsium libanoticum subsp. libanoticum,SAMN34240311,SRR25265688,SRX21011529,"Turkey:, between Hadim and Alanya, 1800 m, 13.09.2018, Dirmenci & Yıldız, TD-5242",Outside_target_region,Turkey: Konya,linked_runinfo,outside_scope,exact,low
Cirsium lidjiangense,SAMN34240312,SRR25265686,SRX21011531,"Turkey:, Bursa, 09.15.2017, Dirmenci TD-4945",Outside_target_region,Turkey: Bursa,linked_runinfo,outside_scope,different_submitted_or_published_name,high
Cirsium ligulare,SAMN44017977,SRR30887199,SRX26291398,"Turkey: Bursa: 37 km from Bursa to İnegöl, 435 m, 15.09.2017, Dirmenci, TD-4945, Dirmenci A2 Bursa: 37 km from Bursa to İnegöl",Outside_target_region,Turkey,linked_runinfo,outside_scope,different_submitted_or_published_name,high
Cirsium lineare,SAMN44017876,SRR30887240,SRX26291359,"Japan, 09.09.1984, Miyoshi Furuse 52881 (PE01293160)",Japan,Japan,linked_runinfo,core_east_asia,exact,low
Cirsium longistylum,SAMN44017877,SRR30887239,SRX26291360,"U.S.A.: Montana. Meagher Co.: Lewis and Clark National Forest: Kings Hill Pass, 12 August 2016, J Ackerfield 16-132 (CS)",Outside_target_region,USA,linked_runinfo,outside_scope,exact,low
Cirsium maackii,SAMN34240313,SRR25265685,SRX21011532,"Russia, Primorskiy territory, 04.07.1991, S.Kharkevich, T.Buch (MW0150586)",Russian_Far_East,Russia: Primorskiy territory,linked_runinfo,northeast_asia_bridge,different_submitted_or_published_name,high
Cirsium macrobotrys,SAMN44017878,SRR30887238,SRX26291361,"Turkey: A3 Bolu, Kartalkaya road, Sarıalan place, 1452 m, 10.08.2018, Dirmenci, TD-5153",Outside_target_region,Turkey,linked_runinfo,outside_scope,generic_reassignment_only,medium
Cirsium macrocephalum,SAMN44017879,SRR30887234,SRX26291363,"Caucasus: North Ossetia, 09.11.1976, Amirkhanov A. M. (MW0730803)",Russia_other,Russia,linked_runinfo,outside_scope,different_submitted_or_published_name,high
Cirsium magofukui,SAMN44017880,SRR30887169,SRX26291428,"Japan. Honshu: Fukui Pref., Nanjo-gun, Minamiechizen-cho, Seto, along Tsuka Forest Road., 136°20'25'';35°47'43'', 460-470 m, 15 Oct. 2010, K. Yonekura & E. Hayasaka17704 (MBK-0262691)",Japan,Japan: Honshu,linked_runinfo,core_east_asia,exact,low
Cirsium maritimum,SAMN44017881,SRR30887168,SRX26291429,"Japan. Shikoku: Kochi Pref.; Murotomisaki-cho, Muroto-shi, 8m. Yuki Ueno & Kazumi Fujikawa 210091, 20-10-2021 (MBK-210091)",Japan,Japan: Shikoku,linked_runinfo,core_east_asia,exact,low
Cirsium matsumurae var. dubium,SAMN44017874,SRR30887241,SRX26291357,"Japan. Honshu: Fukui Pref., Ono-shi, Hakogase., 136°44'45.1'';35°52'41.5'', m, 30 Sep. 2015, J. FujitaTCCN15-0321 (MBK-0285933)",Japan,Japan: Honshu,linked_runinfo,core_east_asia,exact,low
Cirsium mexicanum,SAMN44017883,SRR30887167,SRX26291431,"Mexico: Oaxaca, 19.03.1997, J Villasenor 1399 (MEXU)",Outside_target_region,Mexico,linked_runinfo,outside_scope,exact,low
Cirsium microspicatum,SAMN34240314,SRR25265684,SRX21011533,"Tokyo Metropolitan Medicinal Plants Garden s.n., 2002 (TOKMM Cod.S 1906)",Other_or_unresolved,not applicable,linked_runinfo,outside_scope,exact,low
Cirsium mohavense,SAMN34240315,SRR25265683,SRX21011534,"U.S.A., California, 07.30.2014, S DeGroot 7219 (RSA)",Outside_target_region,USA: California,linked_runinfo,outside_scope,exact,low
Cirsium monocephalum,SAMN44017884,SRR30887166,SRX26291432,"China: Guizhou province, 05.10.1986, Sino-American Guizhou Botanicai Expedition 2075 (PE00456362)",China,China,linked_runinfo,core_east_asia,exact,low
Cirsium monspessulanum,SAMN44017986,SRR30887165,SRX26291433,"Spain: Riufredo, Espot, 07.09.2006, M. Guardiola & A. Petit (BC870806)",Outside_target_region,Spain,linked_runinfo,outside_scope,exact,low
Cirsium morinifolium,SAMN44017886,SRR30887164,SRX26291434,"Greece, Crete: Mt. Skinakas, 1510 m, 2001, Matthäs 6331 (BGBM Cod.S 1685)",Other_or_unresolved,Greece,linked_runinfo,outside_scope,different_submitted_or_published_name,high
Cirsium morisianum,SAMN44017887,SRR30887162,SRX26291435,"Italy, 08.07.1908, Fiori A., (MW0794324)",Outside_target_region,Italy,linked_runinfo,outside_scope,different_submitted_or_published_name,high
Cirsium neomexicanum,SAMN34240316,SRR25265682,SRX21011535,"U.S.A., Colorado, 06.02.2011, L Brummer 3594 (RM)",Outside_target_region,USA: Colorado,linked_runinfo,outside_scope,exact,low
Cirsium nerimaniae,SAMN34240317,SRR25265681,SRX21011536,"Turkey: , Çanakkale, Gökçeada, 3 km from Gökçeada to Kuzulimanı, 100 m, 05.09.2017, Dirmenci, TD-4935",Outside_target_region,Turkey: anakkale,linked_runinfo,outside_scope,generic_reassignment_only,medium
Cirsium nippoense,SAMN44017888,SRR30887161,SRX26291436,"Japan. Honshu: Miyagi Pre.; Yajiroukita, Fukuoka Yatsumiya, Shiroishi-shi, 369 m., Yuki Ueno & Kazumi Fujikawa 210064, 28-09-2021",Japan,Japan: Honshu,linked_runinfo,core_east_asia,different_submitted_or_published_name,high
Cirsium nipponicum,SAMN34240318,SRR25265660,SRX21011558,"Tokyo Metropolitan Medicinal Plants Garden s.n., 2002 (TOKMM Cod.S 1905)",Other_or_unresolved,not applicable,linked_runinfo,outside_scope,exact,low
Cirsium norikurense,SAMN44017889,SRR30887160,SRX26291437,"Japan. HONSHU: Nagano Pref.; Norikura Highland, Azumi-mura, Minamiazumi-gun., 26 Aug. 2016, Takeo Kuramata Y20160826-38 (MBK-0304831)",Japan,Japan: HONSHU,linked_runinfo,core_east_asia,exact,low
Cirsium nuttallii,SAMN44017890,SRR30887159,SRX26291439,"U.S.A.: South Carolina, 2.07.2011, J Nelson 29687 (USCH)",Outside_target_region,USA,linked_runinfo,outside_scope,exact,low
Cirsium oblongifolium,SAMN34240319,SRR25265659,SRX21011559,"Russia, North Ossetian ASSR, 10.08.1976, Amirkhanov A. M. (MW0730810)",Russia_other,Russia: North Ossetian ASSR,linked_runinfo,outside_scope,exact,low
Cirsium obvallatum,SAMN34240320,SRR25265658,SRX21011560,"Turkey:, Between Şavşat and Ardahan, Çamlıbel pass, 2415 m, 07.08.2017, Dirmenci & Arabaci, TD-4856",Outside_target_region,Turkey: Ardahan,linked_runinfo,outside_scope,exact,low
Cirsium occidentale var. candidissimum,SAMN34240321,SRR25265657,SRX21011561,"U.S.A., Nevada, 06.25.2011, A Tiehm 16386 (RENO)",Outside_target_region,USA: Nevada,linked_runinfo,outside_scope,exact,low
Cirsium ochrocentrum,SAMN44017891,SRR30887158,SRX26291440,"U.S.A.: Kansas, 05.08.2016, J Ackerfield 16-104 (CS)",Outside_target_region,USA,linked_runinfo,outside_scope,exact,low
Cirsium arvense var. arvense,SAMN44017892,SRR30887157,SRX26291441,"Uzbekistan: 25 km S de Moynak, orillas del canal a 500 m de la carretera de Nukus, 100 m, Kapustina, Khassanov, Susanna 2048 & Vallès, 4.09.1999 (Susanna Personal Herbarium)",Outside_target_region,Uzbekistan,linked_runinfo,outside_scope,exact,low
Cirsium odontolepis1,SAMN34240322,SRR25265655,SRX21011563,"Spain, Huesca, 07.31.1987. G. Montserrat G.3774.87 (JACA735287)",Outside_target_region,Spain: Huesca,linked_runinfo,outside_scope,different_submitted_or_published_name,high
Cirsium oleraceum,SAMN44017893,SRR30887156,SRX26291442,"Netherlands: Glanerburg, aan de Glanerbeek bij de spoorburg. Vochtige overstrook; ruigtekruiden vegetatie. IVON 35.11.54, 15.10.1982, P.F. Stolwijk (L.3431858)",Other_or_unresolved,Netherlands,linked_runinfo,outside_scope,exact,low
Cirsium oligophyllum,SAMN44017894,SRR30887154,SRX26291443,"Japan. Honshu: Tokyo, Machida-shi, Shimo-oyamada, Takizawa., 139.421645-139.419199;35.594955-35.592826, 80-100 m, 22 Sep. 2015, T. Miyazaki1509126 (MBK-0276173)",Japan,Japan: Honshu,linked_runinfo,core_east_asia,exact,low
Cirsium osseticum,SAMN34240323,SRR25265654,SRX21011564,"Turkey:, Rize: 19 km from İkizdere to İspir, 07.08.2017, Dirmenci & Arabacı, TD-4848",Outside_target_region,Turkey: Rize,linked_runinfo,outside_scope,different_submitted_or_published_name,high
