tree_code,biosample,run,experiment,voucher_and_herbarium,region_class,geographic_location,sra_link_status,scope_class,tree_code_vs_sra_name,name_reconciliation_priority
Cirsium tracyi,SAMN44017939,SRR30887284,SRX26291314,"U.S.A.: Colorado, 25.06.2016, J Ackerfield 16-29 (CS)",Outside_target_region,USA,linked_runinfo,outside_scope,exact,low
Cirsium tuberosum 1,SAMN44017940,SRR30887282,SRX26291316,"Spain: La Coruña, Melide, carretera entre Furelos i O Meire, 29TNH8340551010, 474, 19/06/2017, C. Burguera, N. Ibáñez, N. Montes-Moreno & C. Pérez Juan (BC841839)",Outside_target_region,Spain,linked_runinfo,outside_scope,exact,low
Cirsium tuberosum,SAMN34240348,SRR25265668,SRX21011549,"France, Alsace, 06.06.1974, A.S. Troelstra 512 (L.3758649)",Outside_target_region,France: Alsace,linked_runinfo,outside_scope,exact,low
Cirsium turkestanicum,SAMN34240349,SRR25265667,SRX21011550,"Iran, Khorassan, 08.12.2004, Mozaffarian 87074 (TARI).",Outside_target_region,Iran: Khorassan,linked_runinfo,outside_scope,different_submitted_or_published_name,high
Cirsium turneri,SAMN44017941,SRR30887281,SRX26291317,"U.S.A.: Texas, 10.07.2003, J Poole 4901 (TEX)",Outside_target_region,USA,linked_runinfo,outside_scope,exact,low
Cirsium tymphaeum,SAMN44017980,SRR30887194,SRX26291402,"Greece, Ioánnina, Epirus, 29.07.1956, Rechinger K.H. Iter graecum VIII, 1956 18396 (W0154071)",Other_or_unresolved,Greece,linked_runinfo,outside_scope,exact,low
Cirsium uliginosum,SAMN44017942,SRR30887280,SRX26291318,"Caucasus: Stavropol Territory, Karachay-Cherkessia, Kabardino-Balkaria, 08.07.2006, Zernov A.S. (MW0730996)",Russia_other,Russia,linked_runinfo,outside_scope,exact,low
Cirsium uzenense,SAMN44017943,SRR30887279,SRX26291319,"Japan. Honshu: Miyagi Pre.; Obukazawa, Shichikashuku-machi, Karita-gun, 721 m. Yuki Ueno & Kazumi Fujikawa 210062, 28-09-2021",Japan,Japan: Honshu,linked_runinfo,core_east_asia,exact,low
Cirsium valdespinulosum,SAMN44017944,SRR30887278,SRX26291320,"Spain, Cantabria: Valdelprado del Río, pr. Hormiguera, hayedo de Candenosa. Valdeolivas G. s.n., 23-07-2013 (MA879357)",Outside_target_region,Spain,linked_runinfo,outside_scope,exact,low
Cirsium valentinum,SAMN44017945,SRR30887237,SRX26291321,"Spain, Valencia: Bocairent, serra de Mariola, l´Eixarc, Serra Laliglia L. & Bort A. 9408, 08-06-2013 (MA880974)",Outside_target_region,Spain,linked_runinfo,outside_scope,exact,low
